exp,verdict,EstDelayPerSeg,L_target,L_actual,delta_L,iter_budget_required,iter_count,GTS,IsNeedToTrain
EXP_span100ms_packA_gen,NEEDS_MORE_TIME,0.0125,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span100ms_packA_preinh,NEEDS_MORE_TIME,0.0125,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span50ms_packA_gen,NEEDS_MORE_TIME,0.00625000375,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span50ms_packA_preinh,NEEDS_MORE_TIME,0.00625000375,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span25ms_packA_gen,TIMING_MISMATCH,0.0052083325,6 5 3 1,6 5 1 1,0 0 -2 0,7,,10000,1
EXP_span25ms_packA_preinh,TIMING_MISMATCH,0.0052083325,6 5 3 1,6 5 1 1,0 0 -2 0,7,,10000,1
EXP_span100ms_packB_gen,NEEDS_MORE_TIME,0.0125,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span100ms_packB_preinh,TIMING_MISMATCH,0.005263157894736842,20 17 11 1,20 17 10 1,0 0 -1 0,19,,10000,1
EXP_span50ms_packB_gen,NEEDS_MORE_TIME,0.00625000375,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span50ms_packB_preinh,NEEDS_MORE_TIME,0.00625000375,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span25ms_packB_gen,NEEDS_MORE_TIME,0.005,6 5 3 1,6 1 1 1,0 -4 -2 0,7,,10000,1
EXP_span25ms_packB_preinh,TIMING_MISMATCH,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,10000,1
EXP_span100ms_packC_gen,NEEDS_MORE_TIME,0.0125,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span100ms_packC_preinh,NEEDS_MORE_TIME,0.0125,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span50ms_packC_gen,NEEDS_MORE_TIME,0.00625000375,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span50ms_packC_preinh,NEEDS_MORE_TIME,0.00625000375,9 8 5 1,9 1 1 1,0 -7 -4 0,10,,10000,1
EXP_span25ms_packC_gen,NEEDS_MORE_TIME,0.005,6 5 3 1,6 1 1 1,0 -4 -2 0,7,,10000,1
EXP_span25ms_packC_preinh,TIMING_MISMATCH,0.005,6 5 3 1,6 5 4 1,0 0 1 0,7,,10000,1
